time_duration,seqlen,seq,attack
552,575,getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~fork(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~fork(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2)~fork(2)~getmsg(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~fork(2)~close(2),0
22,205,fcntl(2)~close(2)~close(2)~fcntl(2)~close(2)~fcntl(2)~close(2)~open(2) - read~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~setrlimit(2)~auditon(2) - get audit state~ioctl(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~audit(2)~close(2)~execve(2)~open(2) - read~mmap(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~close(2)~munmap(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~open(2) - read~fork1(2)~ioctl(2)~ioctl(2)~access(2)~fcntl(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~open(2) - read~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~fork(2)~ioctl(2)~ioctl(2)~setpgrp(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~stat(2)~stat(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~munmap(2)~open(2) - read~open(2) - read~access(2)~ioctl(2)~open(2) - read~close(2)~open(2) - read~close(2)~open(2) - read~close(2)~open(2) - write~open(2) - write~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~exit(2),1
524,43,inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd~inetd,0
14,311,fcntl(2)~close(2)~close(2)~fcntl(2)~close(2)~fcntl(2)~close(2)~open(2) - read~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~setrlimit(2)~auditon(2) - get audit state~ioctl(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~audit(2)~close(2)~execve(2)~open(2) - read~mmap(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~close(2)~munmap(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~auditon(2) - get audit state~close(2)~open(2) - write~ioctl(2)~ioctl(2)~ioctl(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~munmap(2)~open(2) - read~ioctl(2)~close(2)~stat(2)~seteuid(2)~seteuid(2)~stat(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~munmap(2)~open(2) - write~open(2) - write~close(2)~close(2)~seteuid(2)~stat(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~munmap(2)~setegid(2)~open(2) - read~ioctl(2)~close(2)~setgroups(2)~chdir(2)~chroot(2)~seteuid(2)~seteuid(2)~open(2) - read~open(2) - read~open(2) - read~open(2) - read~ftp access~audit(2)~seteuid(2)~open(2) - read~open(2) - read~setaudit(2)~pipe(2)~vfork(2)~close(2)~seteuid(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~seteuid(2)~ioctl(2)~ioctl(2)~ioctl(2)~fcntl(2)~putmsg-connect~getmsg(2)~getmsg(2)~ioctl(2)~ioctl(2)~ioctl(2)~close(2)~close(2)~chdir(2)~pipe(2)~vfork(2)~close(2)~seteuid(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~seteuid(2)~ioctl(2)~ioctl(2)~ioctl(2)~fcntl(2)~putmsg-connect~getmsg(2)~getmsg(2)~ioctl(2)~ioctl(2)~ioctl(2)~close(2)~close(2)~chdir(2)~pipe(2)~vfork(2)~close(2)~seteuid(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~seteuid(2)~ioctl(2)~ioctl(2)~ioctl(2)~fcntl(2)~putmsg-connect~getmsg(2)~getmsg(2)~ioctl(2)~ioctl(2)~ioctl(2)~close(2)~close(2)~open(2) - read~stat(2)~seteuid(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~seteuid(2)~ioctl(2)~ioctl(2)~ioctl(2)~fcntl(2)~putmsg-connect~getmsg(2)~getmsg(2)~ioctl(2)~ioctl(2)~ioctl(2)~close(2)~close(2)~seteuid(2)~stat(2)~seteuid(2)~open(2) - write~open(2) - write~seteuid(2)~close(2)~close(2)~close(2)~close(2)~exit(2),0
0,45,close(2)~close(2)~open(2) - write~close(2)~close(2)~close(2)~close(2)~close(2)~execve(2)~open(2) - read~mmap(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~close(2)~open(2) - read~close(2)~open(2) - read~close(2)~ioctl(2)~ioctl(2)~close(2)~close(2)~close(2)~close(2)~exit(2),0
71,136,setpgrp(2)~ioctl(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~execve(2)~open(2) - read~mmap(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~close(2)~munmap(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~open(2) - read~stat(2)~ioctl(2)~access(2)~stat(2)~access(2)~open(2) - read~access(2)~lstat(2)~creat(2)~close(2)~link(2)~lstat(2)~unlink(2)~open(2) - read~ioctl(2)~ioctl(2)~close(2)~close(2)~lstat(2)~unlink(2)~open(2) - read~ioctl(2)~ioctl(2)~open(2) - read~ioctl(2)~close(2)~stat(2)~ioctl(2)~ioctl(2)~ioctl(2)~stat(2)~stat(2)~stat(2)~stat(2)~access(2)~lstat(2)~creat(2)~close(2)~link(2)~lstat(2)~unlink(2)~stat(2)~open(2) - write~chown(2)~close(2)~unlink(2)~chmod(2)~rename(2)~lstat(2)~unlink(2)~access(2)~old utime(2)~lstat(2)~close(2)~unlink(2)~close(2)~close(2)~close(2)~close(2)~exit(2),0
23,205,fcntl(2)~close(2)~close(2)~fcntl(2)~close(2)~fcntl(2)~close(2)~open(2) - read~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~setrlimit(2)~auditon(2) - get audit state~ioctl(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~audit(2)~close(2)~execve(2)~open(2) - read~mmap(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~close(2)~munmap(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~open(2) - read~fork1(2)~ioctl(2)~ioctl(2)~access(2)~fcntl(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~open(2) - read~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~fork(2)~ioctl(2)~ioctl(2)~setpgrp(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~stat(2)~stat(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~munmap(2)~open(2) - read~open(2) - read~access(2)~ioctl(2)~open(2) - read~close(2)~open(2) - read~close(2)~open(2) - read~close(2)~open(2) - write~open(2) - write~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~exit(2),1
6,156,close(2)~close(2)~open(2) - write~close(2)~close(2)~close(2)~close(2)~close(2)~execve(2)~open(2) - read~mmap(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~close(2)~open(2) - read~close(2)~ioctl(2)~open(2) - read~close(2)~open(2) - read~open(2) - read~ioctl(2)~close(2)~open(2) - read~open(2) - read~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~exit(2),0
2,74,fcntl(2)~close(2)~fcntl(2)~close(2)~close(2)~close(2)~close(2)~execve(2)~open(2) - read~mmap(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~close(2)~open(2) - read~close(2)~ioctl(2)~lstat(2)~open(2) - read~lstat(2)~lstat(2)~lstat(2)~lstat(2)~lstat(2)~lstat(2)~close(2)~ioctl(2)~ioctl(2)~open(2) - read~open(2) - read~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~munmap(2)~stat(2)~open(2) - read~close(2)~stat(2)~stat(2)~open(2) - read~open(2) - read~stat(2)~open(2) - read~close(2)~stat(2)~stat(2)~open(2) - read~close(2)~close(2)~close(2)~close(2)~exit(2),0
23,205,fcntl(2)~close(2)~close(2)~fcntl(2)~close(2)~fcntl(2)~close(2)~open(2) - read~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~setrlimit(2)~auditon(2) - get audit state~ioctl(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~close(2)~audit(2)~close(2)~execve(2)~open(2) - read~mmap(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~mmap(2)~close(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~open(2) - read~close(2)~munmap(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~open(2) - read~fork1(2)~ioctl(2)~ioctl(2)~access(2)~fcntl(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~open(2) - read~ioctl(2)~close(2)~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~getmsg(2)~open(2) - read~open(2) - read~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~fork(2)~ioctl(2)~ioctl(2)~setpgrp(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~ioctl(2)~stat(2)~stat(2)~open(2) - read~mmap(2)~mmap(2)~munmap(2)~mmap(2)~close(2)~munmap(2)~open(2) - read~open(2) - read~access(2)~ioctl(2)~open(2) - read~close(2)~open(2) - read~close(2)~open(2) - read~close(2)~open(2) - write~open(2) - write~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~close(2)~exit(2),1
